event_id,name,clean_description,location_room,start_date_clean,start_time,end_time,pre_reg_flag,paid_flag,laptop_flag,speakers_cleaned,session_type,keywords,skill_level,session_title
4178,(Generally) painless collaboration with the greater newsroom,"Traditional reporters and editors often view the data team as a one-stop service desk, a group of unapproachable nerds who will shoot down all their ideas, or full-stack programmers who can magically visualize all the data bouncing around in their heads. In this panel, we’ll discuss ways to revamp your newsroom reputation, change perceptions of your team and open up the lines of communication with your colleagues. ",Salon A&B,2019-03-09,2019-03-09 15:30:00,2019-03-09 16:30:00,FALSE,FALSE,FALSE,"Ryann Grochowski Jones, ProPublica (moderator); Ariana Giorgi, The Dallas Morning News; Yan Wu, NJ Advance Media",Panel,NA,General interest,(Generally) painless collaboration with the greater newsroom
4162,25th CAR: What a ride it's been!,"Buckle up for a fast-paced ride through 25 years of data journalism, told through the people who drove CAR into the mainstream of investigative reporting. You’ll hear about pivotal moments, bizarre twists and befuddled bureaucrats who didn’t know what hit them. Featuring special guests! Expected guest speakers include Crina Boros, Center for Investigative Journalism; Sarah Cohen, ASU Walter Cronkite School of Journalism; Steve Doig, ASU Walter Cronkite School of Journalism; Jaimi Dowdell, Reuters; Mark Horvit, University of Missouri; Brant Houston, University of Illinois; Clarence Jones, independent journalist; Jennifer LaFleur, Investigative Reporting Workshop; and James B. Steele, independent journalist. ",Salon C&D,2019-03-08,2019-03-08 15:30:00,2019-03-08 16:30:00,FALSE,FALSE,FALSE,"Doug Haddix, IRE/NICAR; Shawn McIntosh, Atlanta Journal-Constitution",Panel,NA,General interest,25th CAR: What a ride it's been!
4189,50 databases to request right now,"Get your FOI templates ready to roll. In this quick-paced, lightning-round style session, two investigative reporters and public records geeks will cover their favorite, most unique, overlooked and under-appreciated records to request from all levels of government. They'll also give examples of how these records were used to produce stories in newsrooms around the country. ",Salon D,2019-03-09,2019-03-09 14:15:00,2019-03-09 15:15:00,FALSE,FALSE,FALSE,"Mark Walker, The New York Times; Kate Martin, South Carolina Press",Panel,NA,General interest,50 databases to request right now
4198,A conversation with James B. Steele: Insights and lessons for data journalists,"This special session features the wit and wisdom of James B. Steele, one of the nation's most accomplished investigative journalists and a data journalism pioneer. In 1972, Steele and reporting partner Donald L. Barlett in collaboration with Philip Meyer used a computer to analyze more than 1,000 cases of violent crime in Philadelphia for The Philadelphia Inquirer -- the largest CAR project of its time. Barlett and Steele worked together for more than 40 years on investigative stories that won two Pulitzer Prizes, two National Magazine Awards, six IRE Awards and a slew of other honors. Over the years, Steele also has produced investigative pieces for Time Inc., Vanity Fair, the Investigative Reporting Workshop and REVEAL from the Center for Investigative Reporting. Bring your own questions and participate in this special conversation, which will be moderated by Sarah Cohen, the Knight Chair in Journalism at the Walter Cronkite School of Journalism at Arizona State University. Cohen previously ran the data reporting team at The New York Times and worked as database editor at The Washington Post, where she shared in the Pulitzer Prize for Investigative Reporting, the IRE medal and other national awards. ",Salon A&B,2019-03-09,2019-03-09 10:15:00,2019-03-09 11:15:00,FALSE,FALSE,FALSE,"Sarah Cohen, ASU Cronkite School of Journalism (moderator); James B. Steele, independent journalist ",Panel,NA,NA,A conversation with James B. Steele: Insights and lessons for data journalists
4301,Adding a text editor to your CAR toolkit,"A good text editor is an essential tool for data journalists, allowing you to inspect and tidy data and seamlessly import into other programs (Excel, a database GUI, your CMS). Stop by this demo session for examples of how a text editor can round out your CAR toolkit. ",Salon A&B,2019-03-10,2019-03-10 10:15:00,2019-03-10 11:15:00,FALSE,FALSE,FALSE,"Agustin Armendariz, The New York Times",Demo,NA,Intermediate,Adding a text editor to your CAR toolkit
4250,Advanced OpenRefine: Intro to GREL,"There is so much more to OpenRefine than the clustering and faceting feature. This session is a deep dive to GREL, OpenRefine expression language (the equivalent of Excel formulas). After a thorough introduction to GREL syntax, we will review the most common functions to explore and clean up your dataset. Functions covered in this session include replace, split, concatenate, string comparison, if, cell.cross (to join multiple projects together), and forEach. This session is good for: People who are familiar with OpenRefine or with at least some Excel experience. For an introduction to OpenRefine, check out the scheduled demo session. ",Diamond Cove - conference level,2019-03-08,2019-03-08 11:30:00,2019-03-08 12:30:00,FALSE,FALSE,FALSE,"Martin Magdinier, OpenRefine Foundation ",Hands-on,NA,Intermediate,Advanced OpenRefine: Intro to GREL
4257,"Advanced SQL: Working with dates, sub-queries and more","If you feel comfortable with the Structured Query Language basics that IRE teaches in its boot camps — SELECT, FROM, WHERE, GROUP BY — but are ready to see what else SQL can do, this session is for you. We will cover more advanced ways of manipulating and questioning data, such as date functions, writing sub-queries and other neat tricks. We will use SQLite in the class. This session will be most helpful if: You are comfortable with counting and summing in SQL. ",Salon 3,2019-03-08,2019-03-08 10:15:00,2019-03-08 11:15:00,FALSE,FALSE,FALSE,"Jennifer Peebles, The Atlanta Constitution",Hands-on,NA,Advanced,"Advanced SQL: Working with dates, sub-queries and more"
4176,"After a disaster: Long-term reporting on floods, fires and other emergencies","We’ll talk about databases and documents you can use to cover natural and unnatural disasters before, during and after they occur, and strategies for identifying long-term issues after the initial incident. ",Salon 1&2,2019-03-07,2019-03-07 14:15:00,2019-03-07 15:15:00,FALSE,FALSE,FALSE,"Lisa Song, ProPublica (moderator); Eric Sagara, Reveal from The Center for Investigative Reporting; Rebecca Hersher, NPR",Panel,NA,General interest,"After a disaster: Long-term reporting on floods, fires and other emergencies"
4199,Always appeal: Fighting public records battles,"Fighting for public records often involves lengthy and frustrating battles. But don't let that intimidate you -- always go through the appeals process available under state law or the federal Freedom of Information Act. Hear from reporter and ""FOIA terrorist"" Jason Leopold and experienced media attorney Katie Townsend how you can prepare for these battles and see them through to get what you want. ",Salon D,2019-03-09,2019-03-09 16:45:00,2019-03-09 17:45:00,FALSE,FALSE,FALSE,"Jason Leopold, BuzzFeed News; Katie Townsend, Reporters Committee for Freedom of the Press",Panel,NA,NA,Always appeal: Fighting public records battles
4299,America's dirtiest jobs? Meet America's dirtiest data,Journalists who have successfully cleaned up some exceptionally dirty data explain how they pulled it off. ,Salon C,2019-03-09,2019-03-09 10:15:00,2019-03-09 11:15:00,FALSE,FALSE,FALSE,"John Schoen, NBC Universal ",Demo,NA,General interest,America's dirtiest jobs? Meet America's dirtiest data
